name,website,cb_description,year_founded,mosaic_change,city,region,country,postal
Mobot,https://mobot.se,"Mobot specializes in providing future-proof telephony solutions within the telecommunications sector. The company offers a range of virtual telephony solutions designed to meet the needs of small to large businesses, focusing on ease of use, flexibility, stability, and cost savings. Mobot primarily serves the telecommunications needs of various businesses, from small startups to larger enterprises requiring advanced telephony features. It is based in Stockholm, Sweden.",,,Stockholm,,Sweden,162 50
FRAMEWORK,https://,"FRAMEWORK operates as a joint venture of leading Canadian design firms Stantec, Merrick and Dialog.",,,Alberta,,Canada,
Chromatic 3D Materials,https://c3dmaterials.com,"Chromatic 3D Materials specializes in three-dimensional (3D) printing technology for producing industrial-strength elastomeric products. It offers printable polyurethanes and other thermoset elastomers, utilizing its RX-AM platform for reactive extrusion additive manufacturing without melting, lasers, or post-processing. It serves transportation, industrial seals and gaskets, textiles, medical devices, and defense sectors. It was founded in 2016 and is based in Golden Valley, Minnesota.",2016,-62,Golden Valley,Minnesota,United States,55427
Enthuse,https://,"Enthuse offers a way to give fans the ability to connect with favorite sports teams via mobile devices and get rewards for checking into games and snapping photos. Users can drive engagement and strengthen the relationship through identifying & rewarding loyal fans. Whether its real-rewards, virtual benefits, or unique fan experiences, the company's platform empowers users to have a turn-key mobile social loyalty solution in minutes.",,,San Francisco,California,United States,94111
Crusoe,https://crusoe.ai,"Crusoe focuses on providing climate-aligned digital infrastructure in the cloud computing industry. The company offers computing solutions, including computing and artificial intelligence services. Crusoe primarily serves sectors that require compute-intensive workloads such as AI and high-performance computing. It was founded in 2018 and is based in Denver, Colorado.",2018,-28,Denver,Colorado,United States,80202
Mekonos,https://mekonos.com,"Mekonos is a life sciences company focused on developing a proprietary cell-engineering platform for the cell therapy industry. The company's main offering is a platform that enables precise delivery of molecular cargo into cells using a unique chip architecture that aligns single nanoneedles to individually trapped cells. This technology aims to create a future where personalized medicine is more accessible by addressing the limitations of current cell and gene therapy production methods. It was founded in 2017 and is based in San Francisco, California.",2017,-236,San Francisco,California,United States,94104
InstaDApp,https://instadapp.io,"InstaDApp is a company focused on democratizing finance through blockchain technology within the decentralized finance (DeFi) sector. The company offers a suite of tools designed to leverage the full potential of DeFi, making it accessible to a broader audience. These tools include a smart contract wallet for secure transactions, a protocol for DeFi operations, and platforms for governance and developer engagement. It was founded in 2019 and is based in Lewes, Delaware.",2019,-248,Lewes,Delaware,United States,19958
Havenly,https://havenly.com,"Havenly specializes in online interior design and home decorating services. The company offers a platform for virtual collaboration between clients and professional interior designers, including personalized style matching and 3D renderings of designed spaces. Havenly provides tailored design solutions that cater to individual style preferences and budgets, ensuring a unique and accessible experience for decorating various rooms. It was founded in 2014 and is based in Denver, Colorado.",2014,+162,Denver,Colorado,United States,80209
Userpilot,https://userpilot.com,"Userpilot is a product growth platform that specializes in enhancing user engagement and retention for product teams. The company offers a suite of tools for user onboarding, product adoption, customer retention, and in-app support, designed to improve the user experience and drive product growth. Userpilot primarily serves the SaaS industry, providing solutions to help software companies optimize their user journey and increase feature adoption. Userpilot was formerly known as Deepchat.ai. It was founded in 2018 and is based in San Francisco, California.",2018,-58,San Francisco,California,United States,94118
Zartico,https://zartico.com,"Zartico operates in the data science and tourism sectors. It offers a strategic planning solution, known as the Destination Operating System, which provides insights into the movement of people and economic opportunities by harnessing and streamlining big data. It is primarily used by communities and organizations to make data-led decisions that influence the future of their areas. It was formerly known as Entrada Insights. The company was founded in 2020 and is based in Salt Lake City, Utah.",2020,-31,Salt Lake City,Utah,United States,84101
ASTRA,https://getastra.com,"ASTRA is a cybersecurity company that operates in the technology sector. The company offers a comprehensive suite of security services, including manual and automated penetration testing tools, vulnerability assessment, and proactive threat response. These services are primarily targeted towards businesses in need of robust and continuous security measures. It was founded in 2018 and is based in Le Kremlin-Bicetre, France.",2018,-64,Le Kremlin-Bicetre,,France,94270
Strateos,https://,"Strateos automates chemistry, biology, and tissue analysis into closed loop robotic labs that accelerate drug discovery programs.",,,Menlo Park,California,United States,94025
Eliyan,https://eliyan.com,"Eliyan focuses on chipset interconnect technology within the semiconductor industry. The company's main product, NuLink, is a PHY technology that facilitates the creation of super large System-in-Packages (SiPs) using standard packaging. Eliyan's solutions are designed to increase bandwidth and power efficiency for semiconductor applications. It was founded in 2021 and is based in Santa Clara, California.",2021,+69,Santa Clara,California,United States,95054
PhotoRoom,https://photoroom.com,"PhotoRoom specializes in artificial intelligence (AI) photo editing within the technology and photography sectors. The company offers a suite of tools that enable users to remove and change image backgrounds, retouch photos, and create visual content with ease. PhotoRoom primarily serves businesses in industries such as beauty, clothing, entertainment, furniture, and jewelry, providing solutions for ad asset creation and e-commerce. It was founded in 2019 and is based in Paris, France.",2019,+16,Paris,,France,75003
Spidersilk,https://spidersilk.co.kr,"Spidersilk is a start-up company focused on eco-friendly polymer materials and processing technology within the adhesive tape manufacturing sector. The company offers high-quality pressure sensitive adhesive tapes and functional products designed to address environmental concerns in the electronics, automotive, and construction markets, utilizing polymer design, polymerization, and eco-friendly processes. Spidersilk's products are tailored to customer needs, featuring unique properties such as multi-layer lamination, UV curing, and optimized particle alignment for enhanced performance. It was founded in 2020 and is based in Gunpo-si, South Korea.",2020,,,Gunpo-si,South Korea,
Novo,https://novo.eco,"Novo operates as a property technology company. It reduces emissions in private real estate. It automates analyzes, plans, and finances energy renovation for real estate. It was founded in 2022 and is based in Berlin, Germany.",2022,-39,Berlin,,Germany,10117
Hi Marley,https://himarley.com,"Hi Marley is a technology company specializing in the property and casualty (P&C) insurance sector, offering an intelligent conversational platform designed to facilitate communication. The company's main product is an SMS-powered platform that streamlines conversations between carriers and policyholders, aiming to improve customer satisfaction and operational efficiency. Hi Marley's platform is tailored for the insurance industry, providing tools for collaboration, coaching, and analytics to enhance the claims process and customer engagement. It was founded in 2017 and is based in Boston, Massachusetts.",2017,-8,Boston,Massachusetts,United States,02109
Hevo Data,https://hevodata.com,"Hevo Data is a company focused on providing automated data integration solutions within the data management and analytics industry. The company offers a platform that enables users to set up data pipelines, synchronize data from various sources to warehouses in real-time, and prepare data for analytics without the need for coding. Hevo Data's platform is designed to serve data-driven organizations across various sectors by simplifying data integration and analytics processes. It was founded in 2017 and is based in San Francisco, California.",2017,+36,San Francisco,California,United States,94102
GridWise,https://gridwise.io,"GridWise is a technology company focused on providing assistance tools for gig economy workers in the rideshare and delivery sectors. The company offers a mobile application that helps drivers track their earnings, log mileage, and gain insights to improve profitability. GridWise also provides businesses with gig mobility data, advertising opportunities, and partnership options to enhance their services. It was founded in 2016 and is based in Pittsburgh, Pennsylvania.",2016,-161,Pittsburgh,Pennsylvania,United States,15222
Roots Automation,https://rootsautomation.com,"Roots Automation provides digital coworkers as a service for companies of to support daily operations. Its platform uses robotic process technology to handle tasks for business operations. It serves industries such as insurance, banking and financial services, healthcare, finance and accounting, human resources, and IT. The company was founded in 2018 and is based in New York, New York.",2018,+56,New York,New York,United States,10038
Lilt,https://lilt.com,"Lilt focuses on providing artificial intelligence (AI) solutions. The company offers services that include AI-powered translation and localization, enabling businesses to deliver multilingual digital customer experiences. Its primary customers are global enterprises across various sectors such as technology, retail, government, and financial services. It was founded in 2015 and is based in Emeryville, California.",2015,-127,Emeryville,California,United States,94608
Vial,https://vial.com,"Vial is a biotech company focused on enhancing drug development through computational design and automation in clinical trials. The company offers a computational discovery platform that enables the creation of therapeutics with best-in-class profiles, alongside technology to automate clinical trials for improved precision and efficiency. Vial primarily serves innovative biotech companies seeking to advance their programs into clinical stages with cost-effective and efficient trial processes. It was founded in 2020 and is based in San Francisco, California.",2020,-127,San Francisco,California,United States,94111
LemonBox,https://lemonbox.com,"LemonBox focuses on personalized nutrition solutions. It offers research-based daily vitamin solutions tailored to individual consumers' needs. The primary market for LemonBox's services is the consumer health sector. The company was founded in 2017 and is based in Santa Clara, California.",2018,-39,Santa Clara,California,United States,95050
Stockbit,https://stockbit.com,"Stockbit is a social platform focused on stock investment and trading in the financial markets. The company offers a suite of tools for real-time stock price tracking, market news, fundamental data analysis, and professional charting, designed to simplify investment decisions for individual investors. Stockbit serves a diverse customer base, including individual retail investors and traders seeking to engage with a community and utilize analytical tools to inform their investment strategies. It was founded in 1990 and is based in Jakarta Selatan, Indonesia.",1990,-218,,Jakarta Selatan,Indonesia,12930
DoNotPay,https://donotpay.com,"DoNotPay is an AI-powered platform focused on consumer advocacy and legal information within the legal tech industry. The company offers a range of self-help tools that assist users in fighting corporations, managing subscriptions, handling financial disputes, and navigating bureaucratic processes without the need for a law firm. DoNotPay primarily serves individuals seeking to resolve consumer issues, protect their privacy, and find financial opportunities. It was founded in 2015 and is based in Norfolk, Virginia.",2015,-79,Norfolk,Virginia,United States,23510
MoneyHash,https://moneyhash.io,"MoneyHash develops a payment orchestration and revenue operations platform. The company offers a solution for managing payments, including the ability to manage payment processes, optimize and scale payment infrastructure, and provide a wide range of pay-in and pay-out methods. It primarily serves sectors such as e-commerce, social commerce, gaming, and digital content. It was founded in 2021 and is based in New York, New York.",2021,+3,New York,New York,United States,
NiKang Therapeutics,https://nikangtx.com,"NiKang Therapeutics operates as an early-stage biotech company. The company's main focus is on the discovery and development of small-molecule oncology medicines, for patients with medical needs. The primary market of the company is the healthcare industry, specifically the oncology sector. It was founded in 2017 and is based in Wilmington, Delaware.",2017,-56,Wilmington,Delaware,United States,19803
EasyCep,https://easycep.com,"EasyCep is a leading provider in the refurbished electronics marketplace, specializing in the sale of renewed electronic devices. The company offers a wide range of products including smartphones, tablets, smartwatches, computers, and televisions, as well as various electronic accessories. EasyCep primarily serves customers looking for refurbished electronics with a focus on quality and sustainability. It was founded in 2018 and is based in Istanbul, Turkey.",2018,-122,Istanbul,,Turkey,34403
Kissterra,https://kissterra.com,"Kissterra is a technology company with a high-level focus on the insurance industry. The company's main service is developing platforms that harness data to provide solutions for insurers' marketing and distribution needs. Kissterra primarily sells to the insurance industry. It was founded in 2015 and is based in Tel Aviv, Israel.",2015,-120,Tel Aviv,,Israel,6971054
HealthVerity,https://healthverity.com,"HealthVerity specializes in healthcare data synchronization and operates within the healthcare and technology sectors. The company offers a suite of services that enable the integration and management of large-scale healthcare and consumer data, ensuring privacy compliance and governance. HealthVerity's solutions are designed to facilitate the exchange and analysis of data to support healthcare organizations in making data-driven decisions. It was founded in 2014 and is based in Philadelphia, Pennsylvania.",2014,-34,Philadelphia,Pennsylvania,United States,19103
Bounce,https://bounceinc.com.au,"Bounce is a provider of indoor recreational activities, specializing in trampoline parks. The company offers a variety of trampoline-based attractions and programs such as freestyle jumping, dodgeball, basketball, and fitness classes. Bounce primarily caters to individuals and groups looking for active entertainment and event hosting services. It was founded in 2011 and is based in Glen Iris, Victoria.",2011,,Glen Iris,Victoria,Australia,3146
Vantage Discovery,https://vantagediscovery.com,"Vantage Discovery is a generative AI-powered SaaS platform focused on search and discovery capabilities within the e-commerce sector. The company offers AI search, semantic product discovery experiences, and personalized recommendations. Vantage Discovery's solutions cater to retailers to provide AI for better search relevance, user personalization, and scalable search infrastructure. It was founded in 2023 and is based in San Francisco, California.",2023,+298,San Francisco,California,United States,94108
TourRadar,https://tourradar.com,"TourRadar specializes in providing an Organized Adventure Platform for booking multi-day tours and travel packages globally. The company offers a wide selection of organized adventures, connecting travelers and travel agents with over 2,500 operators. TourRadar ensures customer satisfaction through round-the-clock support, flexible booking options, and comprehensive insurance choices. Additionally, the company is dedicated to sustainable travel practices and offers tools for carbon impact assessment and offsetting. It was founded in 2010 and is based in Vienna, Austria.",2010,-103,Vienna,,Austria,1010
Taxdown,https://taxdown.es,"Taxdown operates as an online tax management platform. It allows taxpayers to file their taxes from computers and mobile devices. The company's artificial intelligence (AI)-powered platform asks users a series of questions about their income, expenses, and deductions. The platform then uses this information to calculate the user's tax liability. It was founded in 2019 and is based in Madrid, Spain.",2019,+192,Madrid,,Spain,28004
Embark,https://letsembark.com,"embark offers step-by-step directions for mass transit on mobile devices. Available on iPhone 3GS, iPhone 4, iPhone 4S and Android mobile devices, embark provides accurate, detailed and fast trip routes for mass transit riders. embark works both above and underground and automatically alerts riders about any delays so riders can get to destinations as quickly as possible.",2011,,San Francisco,California,United States,94111
Alongside,https://alongside.com,"Alongside focuses on human resources technology within the recruitment industry. The company offers a software platform that aids in the hiring process, providing features such as messaging, custom templates, smart filters, and collaboration tools to help businesses connect with and select the best candidates. Alongside primarily serves the human resources sector. It was founded in 2014 and is based in Moncton, Canada.",2014,+38,Moncton,New Brunswick,Canada,E1C 4X7
Resourcify,https://resourcify.com,"Resourcify is a digital platform focused on waste management and circular economy solutions. The company offers a comprehensive system for businesses to digitize and optimize their waste streams, implement take-back and recycling systems, and improve their sustainability practices. Resourcify primarily serves sectors such as manufacturing, construction, retail, healthcare, and transportation. It was founded in 2015 and is based in Hamburg, Germany.",2015,-108,Hamburg,,Germany,20095
Cirkul,https://drinkcirkul.com,"Cirkul is a company focused on promoting hydration and environmental sustainability in the consumer goods sector. The company offers a reusable water bottle with cartridge technology that allows consumers to personalize their water with a variety of flavors and enhancements, all with zero calories, no sugar, and no artificial colors. Cirkul primarily sells to individuals seeking a healthier, more enjoyable way to stay hydrated. It was founded in 2016 and is based in Sarasota, Florida.",2016,,Sarasota,Florida,United States,33691
RocketLane,https://rocketlane.com,"Rocketlane specializes in customer onboarding and professional services automation within the software industry. The company offers a platform that facilitates project management, customer collaboration, and financial oversight to ensure timely and budget-conscious project delivery. Rocketlane primarily serves sectors such as SaaS, fintech, and marketing industries. It was founded in 2020 and is based in Covina, California.",2020,+85,Covina,California,United States,91723
Strive,https://strivecares.com,"Strive is the operator of outpatient addiction recovery clinics with an adaptive schedule that allows patients to remain at work during recovery.

On April 5th, 2021, Strive merged with Forge Health.",,,New York,New York,United States,10017
Neo Medical,https://neomedicalinc.com,"Neo Medical is a company focused on the development, manufacturing, and distribution of medical equipment, specifically in the vascular access domain. The company offers a range of vascular access devices and accessories, designed to facilitate the delivery of nutrition, blood, antibiotics, and drug therapies for adults, children, and neonatal patients. Neo Medical primarily serves the healthcare industry, with a particular emphasis on neonatal and pediatric care. It is based in Sparks, Nevada.",,,Sparks,Nevada,United States,89431
EarlyBird,https://earlybird.fm,"EarlyBird is an early-stage subscription snack service that offers healthy snacks, flavoured teas, art work and even free music downloads.",,,London,England,United Kingdom,E1 6BT
MIDAS,https://midasfi.app,"MIDAS is a financial technology company specializing in investment advisory services. The company offers simplified investment solutions through expert-designed ETF based portfolios in the US stock market, catering to individual financial goals and risk profiles. MIDAS primarily serves individuals looking to invest in the US stock market, providing them with rebalancing and reoptimization services for their investment portfolios. It was founded in 2021 and is based in Mexico City, Mexico.",2021,-25,Mexico City,,Mexico,
Nanopath,https://nanopathdx.com,"Nanopath operates as a molecular diagnostics company focused on improving women's health through advanced testing methodologies. The company offers diagnostic solutions that utilize bioengineering and nanotechnology to detect viral, bacterial, and fungal pathogens in women's health, providing actionable health information. Nanopath's technology is designed to serve the healthcare needs of women, particularly in underserved populations. It was founded in 2019 and is based in Cambridge, Massachusetts.",2019,,Cambridge,Massachusetts,United States,02139
Endor Labs,https://endorlabs.com,"Endor Labs is a company focused on software supply chain security within the cybersecurity industry. The company offers a dependency lifecycle management platform that helps organizations select, secure, and maintain open source software dependencies effectively. Endor Labs provides solutions such as software composition analysis with reachability, container scanning, and management of software bills of materials (SBOMs) and Vulnerability Exploitability eXchanges (VEX), among other security and compliance tools. It was founded in 2021 and is based in Palo Alto, California.",2021,-19,Palo Alto,California,United States,94301
SWEETEN,https://thesweeten.com,"SWEETEN is a company specializing in home renovation matchmaking services within the construction and renovation industry. The company connects homeowners with a curated list of vetted general contractors, providing support and tools like bid-leveling and estimate comparison to facilitate successful renovation projects. SWEETEN primarily serves the residential sector, offering additional resources for commercial renovations and partnerships with architects and designers. It is based in New York, New York.",,,New York,New York,United States,10013
Glimpse,https://glimpse.com,"Glimpse.com is a trendy, high-fashion site that aims to let fashionistas search for clothes, shoes, cosmetics and accessories. Fashion mongers can browse online stores, refine their searches by price, color or sale item, and see popular trends. The site is mostly aimed at women but does have some mens' products. For instance, if users search for ""skinny jeans"" users might find one male item per search result page.",2004,,San Mateo,California,United States,94401
Airspace,https://airspace.cc,"Airspace has ceased operations. It offers proximity marketing solutions catering to the retail, leisure, airlines and advertising industries. The company provides a cloud-based Content Management System, to manage campaigns and develop, manage and optimize content to be delivered to smartphones. Its solutions help brands reach customers in physical locations and gather data, extract insight and drive engagement to improve the customer experience through interactive messages. The company was founded in 2014 and is based in London, U.K.",2014,,London,England,United Kingdom,EC1V 9EY
MoEngage,https://moengage.com,"MoEngage develops an intelligent marketing automation platform. It helps consumer brands understand customer behavior across digital touchpoints through inbuilt analytics and orchestrate personalized campaigns across multiple channels, including mobile, email, website, and more. The company was founded in 2014 and is based in San Francisco, California.",2014,-17,San Francisco,California,United States,94104
FiSpan,https://fispan.com,"FiSpan specializes in integrating banking services with enterprise resource planning (ERP) systems within the financial technology sector. The company offers solutions that automate treasury management processes, facilitate payment automation, and streamline financial reconciliation for businesses. These services are primarily targeted at businesses seeking to enhance their accounting and financial operations through improved software integration. It was founded in 2016 and is based in Vancouver, British Columbia.",2016,-70,Vancouver,British Columbia,Canada,V6E 2G8
SingleFile,https://singlefile.io,"SingleFile specializes in automating administrative compliance and government filings for businesses within the legal technology sector. The company offers a cloud-based platform of AI technology to streamline the filing of secretary of state documents, such as business formations and foreign qualifications, for companies, law firms, and investor organizations. SingleFile primarily serves entities that require regular compliance filings and document management. It was founded in 2019 and is based in Seattle, Washington.",2019,+328,Seattle,Washington,United States,98104
VGS,https://vgs.com,"VGS provides ticketing solution and ticketing services. The company online platform, all the strategic functionalities required for commercial and operational management of resorts, theme parks, events, monuments, stadiums, theaters, cinemas, trade shows and other businesses in the entertainment, leisure, cultural and tourism industries. It was founded in 2011 and is based in Milan, Italy. In June 2023, VGS was acquired by accesso.6M.",2011,,Milan,,Italy,20125
Riverlane,https://riverlane.com,"Riverlane focuses on quantum computing through the development of an error correction stack in the quantum computing industry. The company provides tools and technologies for controlling unstable qubits and correcting data errors, essential for achieving fault-tolerant quantum computing. Riverlane collaborates with technology and academic partners to address the challenges in quantum computing and enable its vast potential. It was founded in 2016 and is based in Cambridge, United Kingdom.",2016,+81,Cambridge,England,United Kingdom,CB2 3BZ
Cleo,https://hicleo.com,"Cleo provides an end-to-end support to working families. It facilitates planning a family to caring for an adult loved one. It offers certified care practitioners who guide and provide advice to parents on parenthood, pregnancy, and more. It provides an application for parents that includes coaching, content, and community with a network of certified experts to guide families through their journey into parenthood and back to work again. It was formerly known as Lucy. The company was founded in 2016 and is based in San Francisco, California.",2016,+55,San Francisco,California,United States,94104
NeoCarbon,https://neocarbon.tech,"NeoCarbon focuses on reversing climate change by specializing in carbon capture technology within the environmental sector. The company offers a direct air capture (DAC) system that captures carbon dioxide (CO2) at low cost and scale, utilizing waste heat and existing infrastructure to reduce environmental impact. It primarily serves the environmental service sector. The company was founded in 2022 and is based in Berlin, Germany.",2022,,Berlin,,Germany,12107
Odaseva,https://odaseva.com,"Odaseva focuses on Salesforce data security and management, operating within the enterprise data platform sector. The company offers services including data protection, backup and restore, archiving, compliance, and security solutions designed to support large-scale Salesforce environments. Odaseva's platform is tailored to meet the needs of various sectors, including financial services, insurance, energy, transportation, technology, and non-profit organizations. It was founded in 2012 and is based in Neuilly-sur-Seine, France.",2012,+177,Neuilly-sur-Seine,,France,92200
Grabr,https://grabr.io,"Grabr operates as a global peer-to-peer delivery service that operates within the cross-border commerce industry. The company facilitates the purchase and delivery of products from abroad by connecting shoppers with travelers who can bring the items as they travel. Its platform offers a payment, a delivery, and a reward system for travelers who deliver items. It was founded in 2015 and is based in San Francisco, California.",2015,+294,San Francisco,California,United States,94105
VEIR,https://veir.com,"VEIR specializes in the development of advanced superconducting power line solutions within the energy sector. The company offers superconducting electric transmission lines that provide higher transfer capacity compared to conventional lines. It primarily serves the energy sector. The company was founded in 2019 and is based in Woburn, Massachusetts.",2019,,Woburn,Massachusetts,United States,01801
CRAFTY,https://craftydelivers.com,"CRAFTY supply management solutions for workplaces. The company offers services and technology to manage pantries, catering, cafes, and supplies for both in-office and remote employees. Its main offerings include a centralized platform for managing office kitchen and pantry needs, snack boxes, corporate catering services, and office cafes. It was founded in 2015 and is based in Chicago, Illinois.",2015,+40,Chicago,Illinois,United States,60606
Verto Education,https://vertoeducation.org,"Verto Education provides educational services. The company offers a unique program where students can earn college credits while traveling abroad, combining classroom education with expeditions, hands-on projects, and cultural immersion. It primarily serves the higher education industry. It was founded in 2017 and is based in Denver, Colorado.",2017,,Denver,Colorado,United States,80205
Vena Solutions,https://venasolutions.com,"Vena Solutions focuses on financial planning and analysis. The company offers a platform that transforms Microsoft Excel into a tool for budgeting, forecasting, and financial planning. Its services are primarily utilized by sectors such as banking, insurance, manufacturing, real estate, healthcare, and professional services. It was founded in 2011 and is based in Toronto, Ontario.",2011,-84,Toronto,Ontario,Canada,M6K 1Y6
Gemist,https://gemist.io,"Gemist focuses on technology solutions for the modern jeweler within the jewelry industry. The company offers a suite of technologies that enable consumers to customize, stack, and try on jewelry virtually, improving the online shopping experience. These solutions are designed to increase consumer engagement, average order values, and repeat purchase rates for jewelry retailers. Gemist was formerly known as Madeline's Ring. It was founded in 2020 and is based in Los Angeles, California.",2020,+152,Los Angeles,California,United States,90014
Delightree,https://delightree.com,"Delightree is a technology company focused on providing a platform for franchise operations management. The company offers solutions for launching new locations, onboarding and training teams, automating tasks, and enhancing franchise communication. Delightree primarily serves emerging franchise businesses, empowering them to scale efficiently and maintain operational excellence. It was founded in 2019 and is based in San Francisco, California.",2019,+291,San Francisco,California,United States,94105
Squid,https://squidapp.co,"Squid is a media-tech company specializing in news aggregation and content customization within the news media app sector. Its main offerings include a personalized news feed where users can select topics of interest and engage with content using interactive tools. Squid primarily serves millennials across Europe, Latin America, and the Asia Pacific (APAC) region. It was founded in 2014 and is based in Nacka, Sweden.",2014,-49,Nacka,,Sweden,131 30
Pine Gate Renewables,https://pinegaterenewables.com,"Pine Gate Renewables is a renewable energy company operating in the energy sector, with a focus on the development and strategic financing of utility-scale solar and storage sites. The company's main services include the generation of renewable energy through solar projects, and providing clean energy to the grid in partnership with energy buyers, corporations, utilities, local communities, and capital partners. Pine Gate Renewables primarily sells to the energy sector, including utilities and energy buyers. It was founded in 2014 and is based in Asheville, North Carolina.",2014,+1,Asheville,North Carolina,United States,28801
Tiliter,https://tiliter.com,"Tiliter is a technology company specializing in advanced product recognition AI and API solutions for the retail sector. The company offers a suite of software products that enable automatic identification of fresh produce, prevention of retail fraud, and loss prevention, aiming to improve checkout efficiency and accuracy. These solutions are designed to integrate with various retail hardware systems, enhancing operational efficiency and the customer experience without the need for barcodes. It was founded in 2017 and is based in Sydney, Australia.",2017,-76,Sydney,New South Wales,Australia,2000
Absolute,https://absolutefoods.com,"Absolute is a climate-focused deep tech bioscience research institute operating in the fields of agriculture, care, and materials. The company offers a range of services including decarbonizing agriculture at scale, accelerating life-critical discoveries for health and personal care, and creating a new class of climate-positive materials inspired by nature. Absolute primarily serves sectors such as sustainable agriculture, health and wellness, and environmental conservation. It was founded in 2015 and is based in New Delhi, India.",2015,-113,New Delhi,,India,110002
Ansa Biotechnologies,https://ansabio.com,"Ansa Biotechnologies focuses on advancing deoxyribonucleic acid (DNA) synthesis technology within the biotechnology sector. The company offers an enzymatic DNA synthesis process that is designed for producing gene-length molecules directly. This technology primarily serves the medical, agricultural, and industrial biotechnology sectors. It was founded in 2018 and is based in Emeryville, California.",2018,-64,Emeryville,California,United States,94608
BiomeSense,https://biomesense.com,"BiomeSense focuses on the development of technologies in the health and biotechnology sector. The company's main offerings include tools for tracking, analyzing, and storing daily human gut microbiome profiles, which are essential for human health, development, and immunity. These tools are primarily used in the field of precision medicine, particularly in clinical trials. It was founded in 2018 and is based in Chicago, Illinois.",2018,,Chicago,Illinois,United States,60612
Moleaer,https://moleaer.com,"Moleaer is a company that focuses on the development of nanobubble technology, operating within various sectors such as agriculture, horticulture, aquaculture, food and beverage, wastewater treatment, and the oil and gas industry. The company's main offerings include equipment and services that utilize nanobubbles to enhance a range of industrial and commercial processes, such as improving water quality, increasing productivity in farming and horticulture, managing aquatic environments in lakes and ponds, and aiding in the recovery of natural resources. Moleaer primarily serves sectors including the agriculture and horticulture industry, the aquaculture industry, the food and beverage industry, the wastewater treatment industry, and the oil and gas industry. It was founded in 2016 and is based in Carson, California.",2016,-92,Carson,California,United States,90746
Moran Cognitive Technology,https://mor.ai,"Moran Cognitive Technology specializes in artificial intelligence (AI) with a focus on cognitive computing and natural language understanding within the tech industry. The company offers a conversational services search platform that facilitates voice interactions. Moran Cognitive Technology collaborates with sectors including the home appliance and automotive industries, to integrate its AI solutions. It was founded in 2016 and is based in Beijing, China.",2016,,Beijing,Beijing,China,100089
Emesent,https://emesent.com,"Emesent operates as a company that specializes in autonomous light detection and ranging (LiDAR) mapping and data analytics, operating within the technology and data analytics sectors. The company offers solutions for mapping and analyzing challenging and global positioning system-denied environments, with a focus on industries such as mining, engineering, and public safety. Emesent primarily serves sectors such as the mining industry, construction and engineering industry, geospatial industry, and public safety industry. It was founded in 2018 and is based in Brisbane, Australia.",2018,-81,Brisbane,Queensland,Australia,4064
Metalbook,https://metalbook.co.in,"Metalbook specializes in the iron and steel industry. The company offers a marketplace for buying and selling steel products, along with services such as finance, logistics, metal fabrication, and metal recycling. Metalbook primarily serves stakeholders within the metal industry, including suppliers, fabricators, and recyclers. It was founded in 2021 and is based in Gurugram, India.",2021,-60,,Gurugram,India,122022
EdiGene,https://edigene.com,"EdiGene is a clinical-stage biotechnology company focused on translating gene-editing technologies into genetic medicines for genetic diseases and cancer. The company develops gene-editing therapies using proprietary platforms, including in vivo RNA base editing and ex vivo gene-editing of hematopoietic stem cells and T cells for allogeneic CAR-T therapies. It was founded in 2015 and is based in Beijing, Beijing.",2015,-76,Beijing,Beijing,China,
Honey Insurance,https://honeyinsurance.com,"Honey Insurance provides home insurance services in the insurance industry. It offers smart home insurance services that help prevent avoidable accidents by using smart technology and data about the home to provide coverage. It provides smart home sensors to alert homeowners to potential risks such as fire, water damage, and theft. It primarily sells to homeowners, renters, and landlords. The company was founded in 2020 and is based in Surry Hills, Australia.",2020,+180,Surry Hills,New South Wales,Australia,2010
Dinari,https://dinari.com,"Dinari focuses on tokenized stock trading and equity management software within the financial technology sector. The company offers a platform for trading securities backed tokens that represent shares in various companies, as well as solutions for managing equity for international employees and contractors, with automated compliance and bookkeeping. Dinari primarily serves venture-backed startups and growth stage companies looking to manage and offer equity to a global workforce. It was founded in 2021 and is based in Palo Alto, California.",2021,+31,Palo Alto,California,United States,94301
Catch,https://,Catch (简影) is a mobile app for making short videos.,,,,,China,
CoinSwitch,https://coinswitch.co,"CoinSwitch is a cryptocurrency trading platform that operates in the fintech sector. The company offers services such as a systematic investment plan for crypto assets, an index tracking the performance of cryptocurrencies in rupees, and advanced trading capabilities through APIs. CoinSwitch primarily caters to individual investors and traders looking for cryptocurrency investment and trading solutions. It was founded in 2017 and is based in Bengaluru, India.",2017,-30,,Bengaluru,India,560037
Shezlong,https://shezlong.com,"Shezlong focuses on mental health care, operating in the healthcare industry. The company provides online therapy services, offering a platform where individuals can connect with a wide range of psychiatrists and psychologists. These professionals are available to provide therapeutic services in multiple languages. It was founded in 2015 and is based in Giza, Egypt.",2015,-24,,Giza,Egypt,12511
BukuWarung,https://bukuwarung.com,"BukuWarung provides a financial application. The platform allows users to accept non-cash payments, get access to capital loans through the business capital solutions service, and more. It helps micro, small, and medium enterprises (MSMEs) with bookkeeping and payments. The company was founded in 2019 and is based in Jakarta, Indonesia.",2019,-146,Jakarta,,Indonesia,12950
